,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
200,NMB50,10.15,-0.39,10.10,10.15,10.10,"1,100",10.19,-0.04
201,NMBHF2,8.99,0.33,8.86,9.17,8.86,"56,570",8.96,0.03
202,NMBMF,698.00,1.01,678.60,747.00,678.60,"5,711",691.00,7
203,NMFBS,"1,285.00",0.47,"1,304.00","1,304.00","1,279.10","1,874","1,279.00",6
204,NMIC,"1,326.00",4,"1,300.00","1,352.50","1,251.20","15,549","1,275.00",51
205,NMLBBL,660.10,-0.86,652.50,665.20,652.00,"5,611",665.80,-5.7
206,NRIC,"1,296.00",-0.77,"1,310.00","1,315.20","1,293.10","40,862","1,306.00",-10
207,NRM,421.00,0.89,409.00,429.00,409.00,"20,631",417.30,3.7
208,NRN,"1,397.90",0.35,"1,371.30","1,412.00","1,371.30","48,668","1,393.00",4.9
209,NSIF2,10.20,0.69,10.32,10.32,10.13,"29,300",10.13,0.07
210,NTC,871.00,-0.29,879.90,879.90,868.00,"11,256",873.50,-2.5
211,NUBL,750.20,0.16,747.00,757.00,743.50,"2,051",749.00,1.2
212,NWCL,810.00,-1.36,820.00,825.00,807.10,490,821.20,-11.2
213,NYADI,391.00,-0.76,401.80,401.80,390.10,"4,714",394.00,-3
214,OHL,706.00,-0.51,700.00,710.00,700.00,"3,154",709.60,-3.6
215,OMPL,"1,269.00",-0.2,"1,260.00","1,281.00","1,246.10","21,032","1,271.50",-2.5
216,PBD88,"1,235.10",0.74,"1,240.00","1,240.00","1,231.00",110,"1,226.00",9.1
217,PCBL,242.60,-0.98,243.10,246.00,242.40,"25,957",245.00,-2.4
218,PFL,375.00,-0.53,374.00,379.50,370.00,"9,009",377.00,-2
219,PHCL,274.50,-0.18,276.00,279.90,273.00,"155,400",275.00,-0.5
220,PMHPL,325.00,-0.88,332.00,332.00,324.30,"11,961",327.90,-2.9
221,PMLI,493.10,0.22,486.10,508.00,486.10,"9,066",492.00,1.1
222,PPCL,320.00,-1.08,320.50,327.90,316.60,"34,868",323.50,-3.5
223,PPL,332.90,0.54,330.00,337.00,329.00,"90,529",331.10,1.8
224,PRIN,670.30,-0.7,674.00,675.00,670.00,"4,337",675.00,-4.7
225,PROFL,460.00,-0.88,473.00,479.00,460.00,"11,209",464.10,-4.1
226,PRSF,10.50,-0.28,10.58,10.58,10.40,"55,200",10.53,-0.03
227,PRVU,184.10,-0.7,181.70,187.60,181.70,"111,338",185.40,-1.3
228,PSF,10.31,-1.43,10.31,10.50,10.31,"18,090",10.46,-0.15
229,PURE,950.00,4.4,903.60,965.90,895.00,"103,757",910.00,40
230,RADHI,717.10,-0.95,738.40,738.40,716.30,"125,803",724.00,-6.9
231,RAWA,724.20,2.43,715.00,724.20,700.70,"1,631",707.00,17.2
